#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
76,Kusama,$68.26,-5.66%,$66.84 M,$571.7 M
77,Basic Attention Token,$0.3837,-6.72%,$55.81 M,$568.98 M
78,Celo,$1.26,-6.30%,$28.83 M,$559.47 M
79,Gala,$0.08126,-0.10%,$523.65 M,$555.87 M
80,Enjin Coin,$0.6285,-6.17%,$76.4 M,$551.22 M
81,Kava,$2.60,-4.43%,$66.97 M,$524.35 M
82,Amp,$0.01157,-3.41%,$7.48 M,$479.9 M
83,Harmony,$0.04001,-7.94%,$28.83 M,$477.2 M
84,Gnosis,$184.94,-7.79%,$9.07 M,$477.08 M
85,Decred,$33.83,-5.71%,$7.03 M,$476.35 M
86,Convex Finance,$7.67,-14.33%,$12.68 M,$472.42 M
87,XDC Network,$0.03718,-4.43%,$8.93 M,$457.52 M
88,Mina,$0.8615,-5.48%,$35.89 M,$450.07 M
89,NEM,$0.04982,-7.06%,$9.08 M,$448.42 M
90,Holo,$0.002598,-5.61%,$25.3 M,$443.43 M
91,Arweave,$13.46,-1.75%,$32.61 M,$438.46 M
92,Fei USD,$0.9943,-0.03%,$4.66 M,$422.56 M
93,GateToken,$5.35,-2.94%,$3.6 M,$418.89 M
94,Compound,$57.44,-5.29%,$64 M,$404.89 M
95,1inch Network,$0.8391,-5.82%,$61.28 M,$403.33 M
96,Qtum,$3.92,-5.83%,$67.81 M,$402.97 M
97,Bitcoin Gold,$21.55,-4.73%,$16.18 M,$377.44 M
98,Kadena,$1.99,-6.34%,$21.05 M,$361.16 M
99,ICON,$0.3898,-5.58%,$16.95 M,$353.66 M
100,Moonbeam,$1.28,-9.81%,$27.73 M,$349.28 M
101,BORA,$0.4046,-4.91%,$25.77 M,$348.49 M
102,OMG Network,$2.50,-6.99%,$77.27 M,$346.74 M
103,0x,$0.4038,-6.93%,$32 M,$336.94 M
104,Oasis Network,$0.06678,-5.33%,$84.13 M,$330.74 M
105,Kyber Network Crystal v2,$1.86,-6.84%,$38.46 M,$326.99 M
106,Theta Fuel,$0.06134,-8.65%,$23.84 M,$322.05 M
107,Lido DAO Token,$1.04,-6.82%,$7.26 M,$318.26 M
108,IoTeX,$0.03369,-5.15%,$26.34 M,$317.69 M
109,Symbol,$0.05622,-5.17%,$3.46 M,$313.84 M
110,IOST,$0.01697,-7.54%,$31.52 M,$309.84 M
111,Ankr,$0.03857,-5.99%,$30.17 M,$308.6 M
112,JUST,$0.04161,-5.56%,$58.03 M,$303.76 M
113,Bancor,$1.26,-7.01%,$21.45 M,$303.61 M
114,Synthetix,$2.62,-9.25%,$78.89 M,$296.6 M
115,Golem,$0.2951,-5.81%,$13.47 M,$287.77 M
116,Audius,$0.4002,-7.05%,$23.62 M,$284.17 M
117,Ravencoin,$0.0273,-6.01%,$8.68 M,$281.53 M
118,Livepeer,$11.91,-7.84%,$27.27 M,$280.81 M
119,Siacoin,$0.005537,-5.56%,$8.1 M,$278.67 M
120,SwissBorg,$0.2782,-2.91%,"$446,635",$278.24 M
121,yearn.finance,"$7,507.75",-3.94%,$48.65 M,$272.1 M
122,Serum,$1.04,-6.65%,$60.83 M,$269.49 M
123,SXP,$0.536,-8.53%,$44.91 M,$260.94 M
124,Ontology,$0.2989,-5.77%,$29.44 M,$258.66 M
125,Polymath,$0.2903,+6.03%,$165.48 M,$257.71 M
126,WAX,$0.1261,-7.19%,$19.83 M,$255.58 M
127,Hive,$0.582,+1.68%,$63.71 M,$248.95 M
128,Gemini Dollar,$0.9981,-0.61%,$2.48 M,$247.84 M
129,Horizen,$19.58,-6.83%,$27.74 M,$244.17 M
130,SKALE Network,$0.06807,-4.57%,$17.69 M,$237.66 M
131,Dogelon Mars,$0.000000442,-7.32%,$12.88 M,$237.06 M
132,Voyager Token,$0.8399,-8.48%,$14.7 M,$233.89 M
133,APENFT,$0.0000008375,-2.78%,$44.56 M,$232.06 M
134,Immutable X,$1.01,-5.18%,$78.61 M,$232.46 M
135,Ethereum Name Service,$11.57,-10.24%,$99.54 M,$228.7 M
136,MXC,$0.08767,-3.64%,$6.76 M,$227.78 M
137,Storj,$0.5733,-7.75%,$21.58 M,$223.96 M
138,Secret,$1.29,-12.38%,$10.42 M,$210.31 M
139,Braintrust,$2.29,-4.23%,$2.14 M,$207.71 M
140,UMA,$3.07,-3.96%,$30.43 M,$201.59 M
141,renBTC,"$29,665.16",-5.44%,$9.31 M,$195.81 M
142,PlayDapp,$0.5465,-5.45%,$15.19 M,$195.04 M
143,SushiSwap,$1.53,-8.14%,$100.67 M,$191.68 M
144,Keep Network,$0.232,-8.68%,$1.72 M,$183.55 M
145,DigiByte,$0.01173,-1.82%,$9.24 M,$178.9 M
146,Casper,$0.03479,-6.59%,$5.68 M,$175.13 M
147,Illuvium,$273.21,-7.54%,$32.72 M,$175.27 M
148,Lisk,$1.35,-7.53%,$7.17 M,$172.46 M
149,Render Token,$0.6911,-5.84%,$12.72 M,$171.31 M
150,Trust Wallet Token,$0.5933,-5.92%,$27.18 M,$170.93 M
151,WOO Network,$0.1583,-6.86%,$16.63 M,$168.22 M
152,Rally,$0.05932,-5.55%,$2.87 M,$162.35 M
153,Acala Token,$0.3662,-6.96%,$9.01 M,$157.41 M
154,Celsius,$0.6584,-12.22%,$4.6 M,$157.28 M
155,NuCypher,$0.2232,-8.81%,$16.91 M,$156.9 M
156,Orbs,$0.05436,+2.20%,$24.48 M,$156.37 M
157,Ocean Protocol,$0.2581,+3.70%,$29.29 M,$156.21 M
158,Flux,$0.6621,-4.01%,$11.44 M,$153.79 M
159,MX TOKEN,$1.53,-4.59%,$10.92 M,$152.62 M
160,Nano,$1.16,-4.63%,$1.37 M,$152.1 M
161,DigitalBits,$0.1577,-0.49%,$1.36 M,$151.1 M
162,MediBloc,$0.02786,-5.52%,"$126,875",$149.95 M
163,TerraClassicUSD,$0.01453,-11.07%,$10.26 M,$149 M
164,Syscoin,$0.2271,-4.99%,$6.24 M,$147.89 M
165,Nervos Network,$0.004446,-6.45%,$2.35 M,$147.11 M
166,WINkLink,$0.0001525,-1.80%,$71.22 M,$146.7 M
167,Ontology Gas,$0.4751,-16.77%,$59.71 M,$145.36 M
168,Ren,$0.1461,-5.97%,$27.99 M,$143.99 M
169,Conflux,$0.07775,-5.55%,$5.19 M,$142.69 M
170,Powerledger,$0.2994,-7.16%,$44.7 M,$142.67 M
171,DAO Maker,$1.99,-0.76%,$2.6 M,$141.16 M
172,Velas,$0.06084,-3.38%,$4.05 M,$140.2 M
173,CEEK VR,$0.1752,-6.00%,$8.61 M,$139.92 M
174,Persistence,$1.36,-5.59%,"$577,947",$139.9 M
175,Coin98,$0.7614,+7.71%,$107.21 M,$137.91 M
176,Status,$0.0402,-7.93%,$8.61 M,$137.08 M
177,Pundi X (New),$0.5185,-9.73%,$38.17 M,$134.04 M
178,Chromia,$0.2334,-4.55%,$23.74 M,$130.26 M
179,Cartesi,$0.231,+4.97%,$40.49 M,$130.08 M
180,Celer Network,$0.01836,-8.41%,$20.02 M,$125.37 M
181,Chia,$31.96,-3.31%,$5.74 M,$125.29 M
182,Ardor,$0.1264,-8.37%,$5.53 M,$124.97 M
183,Wirex Token,$0.01237,-2.09%,$1.46 M,$123.75 M
184,Dent,$0.001245,-4.16%,$28.45 M,$123.3 M
185,Civic,$0.1837,-4.40%,$20.85 M,$123.07 M
186,Request,$0.1232,-4.17%,$7.2 M,$121.19 M
187,COTI,$0.1175,-7.25%,$15.58 M,$121.12 M
188,XYO,$0.009146,-2.53%,$1.73 M,$115.69 M
189,Telcoin,$0.001882,-8.25%,$1.78 M,$115.33 M
190,Spell Token,$0.001254,-4.76%,$19.08 M,$112.7 M
191,OriginTrail,$0.3085,-7.73%,$1.12 M,$112.65 M
192,Ellipsis,$0.1553,-8.61%,$2.06 M,$112.37 M
193,Metal,$1.67,+9.36%,$188.45 M,$111.71 M
194,Ultra,$0.3636,-4.37%,$1.47 M,$110.35 M
195,Injective,$1.98,-6.46%,$13.68 M,$109.98 M
196,dYdX,$1.69,-8.96%,$66.5 M,$109.08 M
197,Fetch.ai,$0.1451,-7.26%,$25.11 M,$106.98 M
198,ConstitutionDAO,$0.02101,-9.56%,$167.38 M,$105.89 M
199,Reserve Rights,$0.007234,-4.57%,$22.9 M,$105.3 M
200,Steem,$0.266,-8.30%,$18.25 M,$105.06 M
201,HEX,$0.05533,-1.31%,$12.73 M,$9.59 B
202,Wrapped TRON,$0.08084,-2.66%,$2.27 M,$8.22 B
203,Lido stETH,"$1,715.79",-7.71%,$1 M,$5.98 B
203,EarnX,$0.0008406,"+395,775.94%","$219,230",$5.79 B
204,yOUcash,$0.5001,-0.01%,N/A,$4.21 B
205,Bitcoin BEP2,"$29,621.58",-5.87%,$38.34 M,$3.11 B
206,Chain,$0.1608,-1.55%,$96.91 M,$2.73 B
207,Toncoin,$1.28,-2.64%,$1.24 M,$1.56 B
208,Frax,$0.9976,-0.09%,$27.82 M,$1.47 B
209,Wrapped BNB,$279.41,-8.72%,$500.35 M,$1.46 B
210,Huobi BTC,"$29,586.38",-6.26%,"$561,360",$1.15 B
211,BitTorrent (Old),$0.001139,-6.38%,"$26,076",$1.13 B
212,DeFiChain,$2.06,-5.61%,$8.16 M,$1.05 B
213,Venus BNB,$9.44,+0.69%,N/A,$796.45 M
213,Liquity USD,$1.00,-0.53%,$36.09 M,$721.1 M
214,Safe,$26.36,-2.05%,"$495,644",$549.19 M
215,Luna Classic,$0.00007544,-13.90%,$132.47 M,$471.32 M
216,Tether Gold,"$1,850.79",+0.19%,$5.35 M,$456.27 M
217,Fruits,$0.02014,-0.16%,$6.97 M,$424.23 M
218,WEMIX,$3.34,-10.25%,$85.35 M,$408.97 M
219,Threshold,$0.05032,-8.17%,$21.4 M,$408.86 M
220,Sapphire,$0.7414,-6.38%,"$226,149",$398.58 M
221,The Transfer Token,$3.48,+1.48%,"$355,223",$380.12 M
221,ECOMI,$0.003031,+6.99%,$3.99 M,$503.97 M
222,NXM,$57.25,-7.63%,"$3,346",$373 M
223,HUSD,$1.00,+0.13%,$24.34 M,$372.87 M
224,Counos X,$19.61,-0.07%,"$274,394",$351.27 M
225,BitDAO,$0.5511,-3.83%,$47.43 M,$323.08 M
226,Osmosis,$1.13,-8.99%,$10.01 M,$318.81 M
227,LINK,$50.85,-6.96%,"$486,450",$303.88 M
228,BinaryX,$126.14,-2.84%,$39.7 M,$255.17 M
229,Everscale,$0.2024,-4.08%,$13.82 M,$249.41 M
230,Astar,$0.06152,-5.38%,$16.6 M,$204.94 M
231,Bitpanda Ecosystem Token,$0.5507,-1.45%,"$15,656",$194.47 M
232,Humanscape,$0.2357,-3.11%,$4.9 M,$186.5 M
233,Chainbing,$5.21,-1.63%,$1.41 M,$171.98 M
234,Metacraft,$3.09,-0.02%,$7.79 M,$162.52 M
235,Rocket Pool,$15.35,-10.92%,"$893,462",$157.8 M
236,PlatonCoin,$1.36,+3.02%,"$711,225",$155.07 M
237,LooksRare,$0.3327,-15.41%,$32.83 M,$151.16 M
238,TitanSwap,$2.79,-4.33%,"$805,015",$149.26 M
239,KOK,$1.37,-15.58%,$9.2 M,$146.92 M
240,Radio Caca,$0.0004851,-4.46%,$17.17 M,$145.95 M
241,MobileCoin,$1.97,-3.86%,$1.28 M,$145.89 M
242,Project Galaxy,$4.25,-8.25%,$129.58 M,$145.8 M
243,MVL,$0.006295,-5.53%,$1.99 M,$144.98 M
243,Mirrored ProShares VIX,$106.15,+0.00%,N/A,$233.97 M
244,VVS Finance,$0.000007901,-5.90%,"$920,936",$142.56 M
245,Wrapped Velas,$0.06165,-1.42%,N/A,$140.51 M
246,STASIS EURO,$1.06,-0.26%,$23.9 M,$132.13 M
247,Maple,$28.55,+2.86%,$2.47 M,$126.15 M
248,inSure DeFi,$0.004708,-8.33%,"$899,427",$126.13 M
249,AVINOC,$0.3094,-0.30%,$2.8 M,$120.43 M
250,Pirate Chain,$0.6183,-7.50%,"$382,224",$119.16 M
251,XSGD,$0.7155,-1.85%,"$160,376",$113.99 M
252,Hyperion,$0.5544,-9.29%,$0.5543,$112.97 M
253,Biswap,$0.5098,-9.77%,$37.61 M,$112.4 M
254,XCAD Network,$4.51,+13.30%,$14.91 M,$109.66 M
255,1eco,$4.09,+0.00%,N/A,$108.03 M
256,Sologenic,$0.2694,-0.40%,"$184,584",$107.76 M
257,USDX [Kava],$0.8593,-9.14%,"$545,348",$104.1 M
258,Augur,$9.57,-6.99%,$22.96 M,$104.02 M
259,Function X,$0.2546,-7.35%,"$619,980",$104.01 M
260,Tribe,$0.2327,-0.93%,$3.1 M,$103.39 M
261,Venus USDC,$0.02154,+0.02%,N/A,$102.78 M
262,Divi,$0.03499,-5.08%,"$255,637",$101.85 M
263,Origin Protocol,$0.264,-8.45%,$71.86 M,$100.77 M
264,Sun (New),$0.009535,-2.26%,$47.46 M,$100.26 M
265,Constellation,$0.07789,-5.83%,"$696,803",$98.68 M
266,StormX,$0.009851,-6.38%,$10.17 M,$98.51 M
267,FUNToken,$0.008925,-2.14%,$3.19 M,$97.97 M
268,Raydium,$0.8787,-8.12%,$25.54 M,$97.95 M
269,Vulcan Forged PYR,$4.14,-9.07%,$15.29 M,$97.52 M
270,Biconomy,$0.6825,-8.29%,$13.31 M,$97.03 M
271,MetisDAO,$22.33,-10.83%,$14.75 M,$96.81 M
272,Hxro,$0.2287,-2.15%,"$82,143",$96.56 M
273,ASD,$0.1451,-0.62%,$1.93 M,$95.87 M
274,aelf,$0.1787,-6.01%,$27.88 M,$95.87 M
275,Creditcoin,$0.4592,-7.59%,$2.65 M,$95.18 M
276,WazirX,$0.2474,-6.21%,$3.71 M,$94.46 M
277,Locus Chain,$0.106,-2.83%,$1.3 M,$93.24 M
278,sUSD,$0.9991,-0.58%,$39.7 M,$93.07 M
279,RSK Smart Bitcoin,"$29,461.88",-6.22%,"$110,228",$92.84 M
280,ABBC Coin,$0.09299,-1.20%,$17.47 M,$92.44 M
281,Moonriver,$20.16,-7.08%,$9.19 M,$92.18 M
282,DEAPcoin,$0.01796,-3.42%,$8.86 M,$91.82 M
283,Anyswap,$4.78,-5.29%,"$668,332",$89.15 M
284,Orchid,$0.1298,-4.08%,$21.89 M,$88.37 M
285,Revain,$0.001031,-5.69%,$1.04 M,$87.69 M
286,Alien Worlds,$0.03336,-8.80%,$64.36 M,$87.13 M
287,Mdex,$0.09715,-5.53%,$2.65 M,$87.11 M
288,Bitcoin Standard Hashrate Token,$7.13,-6.85%,$2.57 M,$86.97 M
289,NEST Protocol,$0.02973,-3.32%,$4.75 M,$86.57 M
290,Stratis,$0.6295,-5.67%,$6.13 M,$86.03 M
290,Venus BTC,$871.54,-2.44%,N/A,$179.39 M
291,Utrust,$0.1807,-3.84%,$4.4 M,$84.95 M
292,Mines of Dalarnia,$0.4134,-7.07%,$52.54 M,$84.74 M
293,QuarkChain,$0.0132,-5.95%,$5.01 M,$84.5 M
294,VeThor Token,$0.001875,-5.83%,$2.98 M,$84.33 M
295,Metadium,$0.04992,-6.73%,$3.57 M,$84.23 M
296,VeThor Token,$0.001875,-5.82%,$2.98 M,$84.34 M
297,Energy Web Token,$2.80,-1.49%,"$584,163",$84.23 M
298,Perpetual Protocol,$1.13,-10.19%,$13.29 M,$83.61 M
299,Strike,$25.92,-4.93%,$5.81 M,$83 M
300,MyNeighborAlice,$2.76,-7.97%,$113.43 M,$83.03 M
301,Reef,$0.004323,-5.65%,$21.95 M,$82.82 M
302,Decentralized Social,$9.37,-10.22%,"$237,985",$83.22 M
303,Standard Tokenization Protocol,$0.05242,-8.11%,$13.09 M,$81.28 M
304,HedgeTrade,$0.2326,-4.47%,"$3,092",$81.13 M
305,Freeway Token,$0.01486,-6.15%,$1.33 M,$81.08 M
306,Uquid Coin,$8.04,-3.90%,$4.41 M,$80.42 M
307,Liquity,$1.11,-8.02%,"$784,363",$80.32 M
308,Ark,$0.5874,-8.21%,$6.51 M,$79.87 M
309,SOMESING,$0.02998,-6.54%,$2.82 M,$79.52 M
310,Rakon,$0.3261,-7.51%,"$20,086",$79.2 M
311,Frax Share,$4.89,-18.61%,$19.71 M,$78.03 M
312,JOE,$0.2871,-11.71%,$5.68 M,$77.95 M
313,SuperFarm,$0.1937,-8.23%,$8.57 M,$77.17 M
314,Ergo,$2.40,-6.63%,"$953,601",$76.88 M
315,Rari Governance Token,$6.15,-10.10%,"$351,040",$76.66 M
316,Verge,$0.004631,-8.28%,$1.42 M,$76.44 M
317,Aavegotchi,$1.52,-1.45%,$27.7 M,$76.29 M
318,Propy,$1.02,-6.27%,$2.02 M,$75.99 M
319,WhiteCoin,$0.1022,+1.07%,$4.25 M,$76.07 M
320,Bifrost (BFC),$0.06842,-5.17%,"$778,621",$75.97 M
321,RSK Infrastructure Framework,$0.08871,-4.61%,$2.47 M,$75.49 M
322,Aurora,$2.22,-13.15%,$15.41 M,$75.24 M
323,LUKSO,$4.91,-7.24%,$1.12 M,$74.63 M
324,Centrifuge,$0.2814,-9.82%,"$165,765",$74.3 M
325,Dero,$5.87,-7.90%,"$155,648",$73.82 M
326,Hoo Token,$0.8945,-1.82%,$3 M,$73.74 M
327,Klever,$0.02153,-1.61%,$2.94 M,$73.14 M
328,Loom Network,$0.05621,-6.49%,$3.71 M,$73.07 M
329,MovieBloc,$0.005458,-6.77%,$40.42 M,$72.76 M
330,Orbit Chain,$0.1187,-5.10%,"$398,728",$71.62 M
331,Aragon,$1.80,-4.09%,$23.66 M,$71.47 M
332,World Mobile Token,$0.2906,-5.72%,$1.53 M,$70.9 M
333,Telos,$0.262,-5.38%,$9.38 M,$70.78 M
334,Sport and Leisure,$0.1041,-7.58%,N/A,$70.62 M
335,Badger DAO,$5.69,-7.56%,$4.08 M,$69.99 M
336,Prometeus,$4.23,-5.64%,$1.68 M,$69.58 M
337,Radicle,$2.28,-3.47%,$23.93 M,$69.51 M
338,MaidSafeCoin,$0.1532,-12.48%,"$9,651",$69.34 M
339,MOBOX,$0.8628,-8.07%,$30.25 M,$68.9 M
340,Bridge Oracle,$0.008591,-18.29%,"$98,641",$68.75 M
341,Alchemy Pay,$0.01504,-3.48%,$9.49 M,$68.31 M
342,Numeraire,$11.78,-4.60%,$3.79 M,$68.15 M
342,Venus ETH,$68.96,+3.02%,N/A,$140.26 M
343,iExec RLC,$0.8571,-7.23%,$5.03 M,$67.87 M
344,Origin Dollar,$0.9993,-0.19%,"$43,990",$67.68 M
345,ssv.network,$6.74,-7.51%,"$346,782",$67.39 M
346,ZEON,$0.002196,+1.10%,"$378,399",$67.05 M
347,Boba Network,$0.4191,-7.23%,$3.18 M,$66.73 M
348,Metahero,$0.01317,-8.97%,$5.03 M,$66.13 M
349,GensoKishi Metaverse,$0.5959,-3.31%,$1.37 M,$66.11 M
350,Yield Guild Games,$0.5786,-10.50%,$11.7 M,$65.44 M
350,Decentral Games [Old],$318.84,+2.43%,"$108,134",$110.54 M
351,Alpha Finance Lab,$0.1498,-5.61%,$19.42 M,$65.43 M
352,Veritaseum,$29.87,-5.56%,$686,$64.21 M
353,CertiK,$0.7946,-2.05%,$9.11 M,$63.82 M
354,SingularityNET,$0.06089,-6.36%,$3.43 M,$63.98 M
355,HI,$0.1258,+2.57%,$2.17 M,$63.38 M
356,Mrweb Finance,$0.006308,-2.04%,$2.6 M,$63.06 M
357,Adshares,$2.30,-5.06%,$1.53 M,$63.01 M
358,GlitzKoin,$0.254,-0.03%,$2.3 M,$62.86 M
359,NKN,$0.09078,-7.72%,$3.18 M,$62.72 M
360,dKargo,$0.06141,-7.27%,$4.63 M,$62.5 M
361,Everipedia,$0.006186,-5.21%,$6.02 M,$61.37 M
362,Electroneum,$0.00342,-6.02%,"$82,785",$61.28 M
363,ZB Token,$0.1309,-4.43%,"$226,885",$60.65 M
364,HUNT,$0.5466,-4.40%,$17.72 M,$60.32 M
365,Celo Dollar,$0.9939,-0.17%,"$992,794",$60.25 M
366,Anchor Protocol,$0.1708,-11.97%,$48.06 M,$59.84 M
367,BakeryToken,$0.3102,-10.96%,$62.12 M,$59.2 M
368,KardiaChain,$0.01658,-5.92%,"$664,833",$59.09 M
369,cVault.finance,"$5,907.35",-4.67%,"$39,025",$59.07 M
370,ThunderCore,$0.006451,-5.09%,$8.04 M,$58.64 M
371,Venus BUSD,$0.02156,-0.17%,N/A,$58.1 M
372,Aergo,$0.1606,-7.11%,$5.16 M,$57.81 M
373,Dusk Network,$0.1445,-2.77%,$3.4 M,$57.77 M
374,e-Radix,$0.07842,-2.54%,"$718,008",$57.62 M
375,Ampleforth,$0.9981,-4.94%,$1.36 M,$56.87 M
376,Band Protocol,$1.64,-7.21%,$18.85 M,$56.67 M
377,JasmyCoin,$0.01206,-3.11%,$129.84 M,$56.29 M
378,Enzyme,$27.31,-4.48%,$2.67 M,$56.18 M
379,CENNZnet,$0.04648,-7.62%,"$440,041",$55.77 M
380,Cratos,$0.00159,-2.53%,$6.56 M,$55.66 M
381,Venus,$4.62,-5.39%,$9.42 M,$54.78 M
382,ONUS,$0.5581,-0.36%,"$97,760",$54.54 M
383,Vai,$0.9466,-0.23%,"$27,761",$54.43 M
384,Darma Cash,$0.2499,-0.01%,N/A,$54.37 M
385,Neutrino Token,$19.91,-0.23%,"$45,145",$54.18 M
386,EFFORCE,$0.1024,-2.49%,"$714,973",$53.98 M
387,Aleph.im,$0.2606,-0.12%,"$650,657",$53.9 M
388,Splintershards,$0.07646,-9.37%,$1.59 M,$53.7 M
389,Cocos-BCX,$0.8032,-3.77%,$20.91 M,$53.7 M
390,Beta Finance,$0.1181,-9.10%,$15.04 M,$53.58 M
391,API3,$1.47,-6.75%,$5.66 M,$53.5 M
392,H2O Dao,$0.8012,+1.42%,$1.83 M,$53.42 M
393,Hifi Finance,$0.005291,-7.97%,$24.71 M,$52.91 M
393,Mango,$0.0529,-5.85%,"$442,137",$52.9 M
395,Proton,$0.004223,-6.72%,$2.32 M,$52.49 M
396,Polkastarter,$0.569,-7.35%,$4.67 M,$52.26 M
397,SafeMoon,$0.00000009293,-89.85%,"$50,885",$52.25 M
398,Deeper Network,$0.04171,+2.09%,$1.48 M,$52.08 M
399,TomoChain,$0.5701,-5.82%,$7.95 M,$51.6 M
400,Green Satoshi Token,$0.6054,-8.35%,$22.28 M,$51.5 M
401,STAKE,$6.08,-5.49%,"$5,248",$51.39 M
402,DeFi Pulse Index,$91.38,-8.15%,"$313,689",$51.08 M
403,LCX,$0.06742,-0.47%,"$965,537",$51.07 M
404,Ampleforth Governance Token,$3.39,-4.37%,$3 M,$50.94 M
405,Qcash,$0.1086,-3.22%,$133.46 M,$49.98 M
406,DeversiFi,$2.05,-3.63%,"$206,929",$49.55 M
